CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,D001_01,D002,D015,D014,D016,D017_01,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS12,PS11,PS11_05,PS11_01,PS11_02,PS11_03,PS11_04,PS10,PS09,PS08_01,PS07,PS06,PS05_01,PS04_01,PS03,PS02_01,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F001_02,F001_04,F001_05,F001_06,F001_07,F001_08,F002,F002_01,F002_02,F002_03,F002_04,F002_05,F002_06,F002_07,F002_08,F002_09,F002_10,F002_11,F002_12,F002_13,F006,F006_01,F006_02,F006_03,F006_04,F006_05,F006_06,F006_07,F006_08,F006_09,F006_10,F006_11,F006_12,F006_13,F006_14,F008_01,F008_02,F008_03,F008_04,F008_05,F009_01,F009_02,F009_03,F009_04,F009_05,F009_06,F009_07,F009_08,F009_09,F010,F011,F013,F012,F014,F014_02,F015,F016,F017,F018,F004_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP06_01,PP06_02,PP06_03,PP06_04,PP05_01,PP05_02,PP05_03,PP05_04,PP05_05,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG01_10,VP01_01,VP01_02,VP01_03,VP01_04,VP01_05,VP01_06,VP01_07,VP01_08,VP01_09,VP01_10,VP01_11,VP01_12,VP01_13,VP01_14,VP02_01,VP02_02,VP02_03,VP02_04,VP02_05,VP02_06,VP02_07,VP02_08,VP02_09,VP02_10,VP02_11,VP02_12,VP03_01,VP03_02,VP03_03,VP03_04,VP03_05,VP03_06,VP03_07,VP03_08,VP03_09,VP03_10,VP03_11,VP03_12,VP03_13,VP03_14,VP03_15,VP03_16,VP04_01,VP04_02,VP04_03,VP04_04,VP04_05,VP04_06,VP04_07,FP01_01,FP01_02,FP01_03,FP01_04,FP01_05,FP01_06,FP01_07,FP01_08,FP01_09,FP01_10,FP01_11,FP01_12,FP01_13,FP02_01,FP02_02,FP02_03,FP02_04,FP02_05,FP02_06,FP02_07,FP02_08,FP02_09,FP02_10,FP02_11,FP02_12,FP02_13,FP02_14,FP02_15,FP02_16,FP02_17,FP02_18,FP02_19,FP02_20,FP03_01,FP03_02,FP03_03,FP03_04,FP03_05,FP03_06,FP03_07,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,CV19_01,CV19_02,CV19_03,CV19_04,CV19_05,CV19_06,CV22_01,CV22_02,CV22_03,CV22_04,CV22_05,CV22_06,CV22_07,CV22_08,CV22_09,CV22_10,CV22_11,CV22_12,CV25_01,CV26_01,CV27_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME019,TIME020,TIME021,TIME022,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
177,,,base,interview,2021-02-10 13:48:15,21,weiblich,alleine.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,BU,DE,7,ja,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,51.0,31.0,AHS,2,Dezember 2020,3.0,3.0,3.0,2.0,3.0,3,25,0,9,1,13,7.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,7.0,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft zu,trifft zu,trifft zu,trifft zu,teils/teils,trifft zu,trifft eher zu,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,keine Änderungen,gleich gut vereinbaren,,keine Änderung,Ähnliches gelernt,,keine Änderung,gleich,gleich,keine Änderung,Praxis hat auch im Distance learning sehr gut funktioniert. Ich war positiv überrascht,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,3.0,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,5.0,4.0,4.0,2.0,4.0,5.0,sehr häufig,5.0,5.0,nie,5.0,sehr häufig,5.0,4.0,4.0,4.0,3.0,sehr häufig,2.0,2.0,nie,sehr häufig,4.0,nie,sehr häufig,,2.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,nie,2.0,,2.0,sehr häufig,5.0,4.0,4.0,3.0,2.0,sehr häufig,3.0,3.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,5.0,sehr häufig,sehr häufig,sehr häufig,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,5.0,trifft voll zu,5.0,5.0,trifft voll zu,trifft voll zu,trifft nicht zu,trifft eher nicht zu,trifft eher nicht zu,teils/teils,trifft zu,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,teils/teils,trifft eher zu,teils/teils,trifft zu,teils/teils,trifft zu,trifft zu,Trotz distance learning hat es sehr gut funktioniert und ich konnte mir viel mitnehmen,,ILJ18b,4.0,14.0,24.0,,19.0,9.0,109.0,46.0,66.0,50.0,41.0,40.0,34.0,54.0,84.0,49.0,57.0,,,119.0,49.0,868.0,,2021-02-10 14:02:44,ausgefüllt,Teilnehmer,22.0,22.0,4.0,2.0,,27.0
180,,,base,interview,2021-02-10 13:49:55,23,weiblich,mit meinem*meiner Parnter*in.,1,gelegentlich während des Semesters erwerbstätig.,3,6.0,6.0,,Sonstiges,EH,BU,6,ja,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,,15.0,NMS,30,Jänner 2021,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,21.0,31.0,,24.0,20.0,,,,,,,,,,,,,,,,101.0,,2021-02-10 13:51:36,abgebrochen,Teilnehmer,6.0,6.0,8.0,4.0,,22.0
181,,,base,interview,2021-02-10 13:50:36,21,weiblich,mit anderen Personen zusammen.,,während des ganzen Semesters erwerbstätig.,10,5.0,äußerst wichtig,4.0,Sonstiges,DE,GW,5,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,15.0,Polytechnische Schule,2,Jänner 2021,3.0,3.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,22.0,36.0,,42.0,121.0,,,,,,,,,,,,,,,,225.0,,2021-02-10 13:54:21,abgebrochen,Teilnehmer,6.0,6.0,0.0,0.0,,8.0
185,,,base,interview,2021-02-10 13:54:15,22,männlich,bei meinen Eltern.,,gelegentlich während des Semesters erwerbstätig.,5,äußerst wichtig,6.0,,,PH,EN,7,ja,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,50.0,7.0,"BMHS (z. B. HTL, HAK, ...)",4,Februar 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,18.0,33.0,,21.0,4.0,,,,,,,,,,,,,,,,79.0,,2021-02-10 13:55:34,abgebrochen,Teilnehmer,6.0,6.0,27.0,22.0,,97.0
186,,,base,interview,2021-02-10 13:55:55,20,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,5,äußerst wichtig,6.0,,,ME,DE,5,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,35.0,NMS,1,Jänner 2021,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,25.0,37.0,,31.0,36.0,,,,,,,,,,,,,,,,135.0,,2021-02-10 13:58:10,abgebrochen,Teilnehmer,6.0,6.0,8.0,1.0,,8.0
187,,,base,interview,2021-02-10 13:57:04,20,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,EN,GS,5,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,33.0,AHS,4,November 2020,3.0,3.0,trifft voll zu,3.0,2.0,11,03,2,4,3,7,7.0,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,8.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,trifft eher nicht zu,teils/teils,trifft eher zu,teils/teils,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft eher zu,trifft zu,teils/teils,trifft eher zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,19.0,45.0,,42.0,33.0,126.0,82.0,41.0,,,,,,,,,,,,,392.0,,2021-02-10 14:03:36,abgebrochen,Teilnehmer,9.0,9.0,8.0,2.0,,11.0
189,,,base,interview,2021-02-10 13:59:10,22,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,9,6.0,5.0,,,GW,MA,7,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ja,,,,,52.0,40.0,NMS,2,November 2020,3.0,3.0,2.0,3.0,2.0,1,02,4,8,4,51,2.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,4.0,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,trifft eher zu,trifft zu,trifft eher zu,trifft eher zu,trifft nicht zu,trifft zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft zu,teils/teils,flexibler einteilen,gleich gut vereinbaren,keine Änderung,keine Änderung,Ähnliches gelernt,,keine Änderung,gleich,gleich,erschwert,,3.0,trifft voll zu,trifft voll zu,trifft voll zu,3.0,2.0,2.0,trifft voll zu,3.0,trifft gar nicht zu,trifft voll zu,3.0,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,nie,2.0,4.0,4.0,5.0,5.0,2.0,2.0,5.0,sehr häufig,4.0,3.0,4.0,2.0,5.0,3.0,2.0,4.0,sehr häufig,sehr häufig,4.0,2.0,3.0,4.0,2.0,nie,4.0,4.0,4.0,3.0,2.0,5.0,5.0,sehr häufig,4.0,,,nie,4.0,3.0,2.0,nie,sehr häufig,4.0,4.0,3.0,3.0,5.0,sehr häufig,5.0,2.0,2.0,5.0,5.0,sehr häufig,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,sehr häufig,3.0,5.0,5.0,sehr häufig,4.0,5.0,2.0,3.0,4.0,4.0,trifft eher nicht zu,trifft eher zu,teils/teils,trifft eher nicht zu,trifft zu,teils/teils,trifft nicht zu,teils/teils,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft eher nicht zu,teils/teils,teils/teils,trifft zu,teils/teils,trifft nicht zu,,,EKL2G,3.0,33.0,34.0,,46.0,29.0,90.0,51.0,41.0,84.0,47.0,26.0,38.0,56.0,57.0,48.0,114.0,,,64.0,69.0,930.0,,2021-02-10 14:14:40,ausgefüllt,Teilnehmer,22.0,22.0,4.0,1.0,,14.0
190,,,base,interview,2021-02-10 13:59:42,20,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,MG,BE,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,25.0,7.0,NMS,3,Jänner 2021,3.0,trifft voll zu,trifft voll zu,3.0,3.0,0.5,6,3,0,0,2,3.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,5.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,trifft eher zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft eher zu,trifft eher zu,trifft zu,trifft zu,trifft zu,teils/teils,trifft eher zu,trifft eher zu,,,,,,,,,,,,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,3.0,trifft voll zu,2.0,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,sehr häufig,sehr häufig,5.0,sehr häufig,sehr häufig,5.0,trifft voll zu,trifft voll zu,5.0,trifft voll zu,trifft voll zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft eher nicht zu,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft nicht zu,trifft eher zu,trifft eher nicht zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft eher zu,trifft zu,,,RHM19B,34.0,28.0,30.0,,180.0,27.0,75.0,59.0,94.0,,,104.0,,,,,,,,71.0,26.0,699.0,,2021-02-10 14:11:50,ausgefüllt,Teilnehmer,22.0,22.0,6.0,1.0,,9.0
195,,,base,interview,2021-02-10 14:06:34,24,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,10,5.0,äußerst wichtig,,,MA,CH,7,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,53.0,30.0,AHS,4,Februar 2021,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,2,16,4,14,6,,9.0,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,11.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,teils/teils,teils/teils,teils/teils,teils/teils,trifft eher zu,teils/teils,trifft eher zu,trifft zu,flexibler einteilen,gleich gut vereinbaren,keine Änderung,intensiver auseinandergesetzt,Ähnliches gelernt,,aktiver eingebracht,größer,weniger gut,erschwert,,3.0,2.0,2.0,2.0,3.0,3.0,trifft voll zu,3.0,2.0,2.0,3.0,trifft gar nicht zu,2.0,trifft gar nicht zu,trifft gar nicht zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,5.0,4.0,2.0,nie,4.0,3.0,sehr häufig,4.0,2.0,nie,sehr häufig,sehr häufig,sehr häufig,4.0,3.0,4.0,5.0,5.0,sehr häufig,5.0,3.0,5.0,2.0,nie,sehr häufig,nie,3.0,2.0,5.0,nie,sehr häufig,4.0,4.0,3.0,sehr häufig,5.0,nie,,2.0,nie,5.0,5.0,5.0,4.0,sehr häufig,5.0,2.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,sehr häufig,5.0,sehr häufig,sehr häufig,sehr häufig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,sehr häufig,5.0,4.0,5.0,sehr häufig,4.0,trifft voll zu,4.0,4.0,4.0,trifft voll zu,trifft zu,trifft eher zu,trifft eher nicht zu,trifft zu,trifft zu,trifft eher zu,teils/teils,trifft eher nicht zu,trifft eher zu,trifft nicht zu,trifft eher zu,trifft zu,teils/teils,trifft zu,trifft eher zu,teils/teils,trifft eher nicht zu,trifft eher zu,,,HET27B,9.0,62.0,36.0,,127.0,23.0,165.0,108.0,49.0,108.0,45.0,34.0,41.0,61.0,83.0,58.0,104.0,,,65.0,64.0,1242.0,,2021-02-10 14:27:16,ausgefüllt,Teilnehmer,22.0,22.0,4.0,1.0,,8.0
196,,,base,interview,2021-02-10 14:08:27,31,männlich,mit meinem*meiner Parnter*in.,1,nicht erwerbstätig.,40,6.0,6.0,gar nicht wichtig,Sonstiges,IP,GS,5,ja,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nein,anderer Grund,,AHS,Oktober 2020,,,,,,3.0,2.0,3.0,3.0,3.0,,,,,,,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,trifft eher zu,trifft eher zu,trifft eher zu,teils/teils,trifft eher zu,trifft eher zu,,,,,,,,,,,,,,,,,,,"Habe das Praktikum nicht begonnen, da ich Risikopatient bin und mein PP für ein Präsenzpraktikum war und dem habe ich zugestimmt, deswegen werde ich damit anfangen, sobald ich geimpft bin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VOCG,8.0,31.0,80.0,43.0,,39.0,33.0,50.0,127.0,9.0,7.0,2.0,11.0,,,,,7.0,10.0,18.0,52.0,484.0,,2021-02-10 14:17:14,ausgefüllt,Teilnehmer,22.0,22.0,79.0,78.0,,169.0
201,,,base,interview,2021-02-10 14:14:43,21,weiblich,alleine.,,nicht erwerbstätig.,,5.0,6.0,,,GS,EN,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,22.0,13.0,"BMHS (z. B. HTL, HAK, ...)",3,Jänner 2021,trifft voll zu,3.0,trifft voll zu,2.0,2.0,11,1512,01,0,0,6,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,trifft zu,trifft eher zu,trifft eher zu,trifft zu,trifft zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,23.0,50.0,,129.0,28.0,105.0,87.0,165179.0,,,,,,,,,,,,,501.0,,2021-02-12 12:14:49,abgebrochen,Teilnehmer,11.0,9.0,8.0,2.0,,3.0
203,,,base,interview,2021-02-10 14:17:01,20,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,4.0,,,EN,MG,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,21.0,3.0,NMS,2,Dezember 2020,2.0,trifft gar nicht zu,trifft gar nicht zu,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,18.0,29.0,,23.0,31.0,,,,,,,,,,,,,,,,104.0,,2021-02-10 14:18:45,abgebrochen,Teilnehmer,6.0,6.0,12.0,3.0,,27.0
204,,,base,interview,2021-02-10 14:19:32,23,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,6.0,6.0,,,GW,EN,5,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,27.0,"BMHS (z. B. HTL, HAK, ...)",2,Jänner 2021,2.0,2.0,2.0,3.0,3.0,1,15,0,6,1,13,6.0,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,8.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,trifft eher zu,teils/teils,teils/teils,trifft eher zu,trifft nicht zu,trifft eher nicht zu,teils/teils,trifft eher zu,trifft eher nicht zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,flexibler einteilen,,weniger gelernt,,"Unterschiedliches gelernt, nämlich:","Umgang mit verschiedenen Meeting Portalen (ZOOM, etc)",weniger aktiv eingebracht,größer,gleich,,Unterrichtsplanung benötigt ebenfalls viel Zeit gerade im DL Setting und sollte daher auch für die 50 EH gelten und nicht in der Freizeit geschehen müssen,trifft voll zu,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,2.0,3.0,3.0,2.0,trifft voll zu,trifft voll zu,trifft voll zu,2.0,2.0,sehr häufig,3.0,2.0,nie,4.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,3.0,2.0,2.0,nie,nie,2.0,3.0,nie,nie,nie,nie,2.0,5.0,nie,sehr häufig,nie,2.0,nie,3.0,4.0,sehr häufig,sehr häufig,3.0,2.0,3.0,nie,nie,nie,nie,sehr häufig,5.0,nie,nie,5.0,5.0,5.0,5.0,3.0,3.0,sehr häufig,2.0,5.0,3.0,sehr häufig,5.0,2.0,4.0,4.0,2.0,4.0,teils/teils,trifft nicht zu,trifft eher nicht zu,trifft zu,trifft zu,teils/teils,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft nicht zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft zu,teils/teils,trifft eher nicht zu,teils/teils,trifft nicht zu,Zu sagen Studenten und Studentinnen sollen über ?den Beamer? unterrichten während SuS in der Klasse sind (weil Studierende nicht an die Schulen dürfen) ist sehr realitätsfern und absolut keine geeignete Form des Unterrichts,,SHL13G,16.0,20.0,24.0,,125.0,33.0,74.0,53.0,78.0,76.0,32.0,24.0,97.0,,,,,192.0,60.0,99.0,30.0,1033.0,,2021-02-10 14:36:45,ausgefüllt,Teilnehmer,22.0,22.0,4.0,2.0,,11.0
