ID_student,Praktikum_w3,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,FINISHED,TIME_SUM,SWE_Mean,SWE_Mean_norm,Praktikum_w4,KO01_01_B,KO01_02_B,KO01_03_B,KO01_04_B,KO01_05_B,FINISHED_B,TIME_SUM_B,SWE_Mean_B,SWE_Mean_norm_B,Praktikum_w6,KO01_01_C,KO01_02_C,KO01_03_C,KO01_04_C,KO01_05_C,FINISHED_C,TIME_SUM_C,SWE_Mean_C,SWE_Mean_norm_C
BDK16,EP A,3.0,3.0,2.0,3.0,3.0,ausgefüllt,754.0,2.8,4.2,EP A,3.0,3.0,3.0,3.0,3.0,ausgefüllt,707.0,3.0,4.5,FP A,4.0,4.0,4.0,4.0,4.0,ausgefüllt,1423.0,4.0,4.0
SRJ31,EP A,3.0,3.0,3.0,4.0,4.0,ausgefüllt,675.0,3.4,5.1,EP A,4.0,4.0,3.0,3.0,4.0,ausgefüllt,643.0,3.6,5.4,FP A,5.0,6.0,4.0,5.0,5.0,ausgefüllt,1468.0,5.0,5.0
BSS27,EP A,4.0,4.0,3.0,4.0,4.0,ausgefüllt,700.0,3.8,5.7,EP A,4.0,4.0,3.0,4.0,2.0,ausgefüllt,703.0,3.4,5.1,FP A,5.0,6.0,5.0,6.0,5.0,ausgefüllt,1441.0,5.4,5.4
CGM10,EP A,3.0,3.0,2.0,3.0,4.0,ausgefüllt,935.0,3.0,4.5,EP A,3.0,3.0,3.0,4.0,4.0,ausgefüllt,1298.0,3.4,5.1,FP A,3.0,5.0,3.0,4.0,5.0,ausgefüllt,1279.0,4.0,4.0
