ID_student,Praktikum_w4,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,FINISHED,TIME_SUM,SWE_Mean,SWE_Mean_norm,Praktikum_w5,KO01_01_B,KO01_02_B,KO01_03_B,KO01_04_B,KO01_05_B,FINISHED_B,TIME_SUM_B,SWE_Mean_B,SWE_Mean_norm_B,Praktikum_w6,KO01_01_C,KO01_02_C,KO01_03_C,KO01_04_C,KO01_05_C,FINISHED_C,TIME_SUM_C,SWE_Mean_C,SWE_Mean_norm_C
MFV23,FP A,4.0,4.0,3.0,4.0,3.0,ausgefüllt,879.0,3.6,5.4,FP B,6.0,5.0,5.0,6.0,5.0,ausgefüllt,808.0,5.4,5.4,VP A,5.0,5.0,4.0,5.0,5.0,ausgefüllt,1081.0,4.8,4.8
GHV14,EP A,4.0,4.0,4.0,4.0,4.0,ausgefüllt,643.0,4.0,6.0,FP A,6.0,6.0,5.0,5.0,6.0,ausgefüllt,1490.0,5.6,5.6,FP B,6.0,6.0,6.0,5.0,6.0,ausgefüllt,2223.0,5.8,5.8
BPM16,FP A,3.0,3.0,3.0,3.0,3.0,ausgefüllt,865.0,3.0,4.5,FP B,5.0,5.0,5.0,5.0,5.0,ausgefüllt,1102.0,5.0,5.0,VP A,5.0,5.0,4.0,5.0,5.0,ausgefüllt,1402.0,4.8,4.8
