ID_student,Praktikum_w3,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,FINISHED,TIME_SUM,SWE_Mean,SWE_Mean_norm,Praktikum_w4,KO01_01_B,KO01_02_B,KO01_03_B,KO01_04_B,KO01_05_B,FINISHED_B,TIME_SUM_B,SWE_Mean_B,SWE_Mean_norm_B,Praktikum_w5,KO01_01_C,KO01_02_C,KO01_03_C,KO01_04_C,KO01_05_C,FINISHED_C,TIME_SUM_C,SWE_Mean_C,SWE_Mean_norm_C
SFJ26,FP B,4.0,4.0,2.0,3.0,3.0,ausgefüllt,1123.0,3.2,4.8,VP A,4.0,2.0,3.0,3.0,3.0,ausgefüllt,882.0,3.0,4.5,VP B,6.0,6.0,6.0,5.0,6.0,ausgefüllt,896.0,5.8,5.8
SAB14,FP B,2.0,3.0,2.0,4.0,4.0,ausgefüllt,1246.0,3.0,4.5,VP A,4.0,4.0,3.0,3.0,3.0,ausgefüllt,1262.0,3.4,5.1,VP B,6.0,4.0,5.0,3.0,4.0,ausgefüllt,1070.0,4.4,4.4
