ID_student,Praktikum_w3,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,FINISHED,TIME_SUM,SWE_Mean,SWE_Mean_norm,Praktikum_w4,KO01_01_B,KO01_02_B,KO01_03_B,KO01_04_B,KO01_05_B,FINISHED_B,TIME_SUM_B,SWE_Mean_B,SWE_Mean_norm_B,Praktikum_w8,SW01_01,SW01_02,SW01_03,SW01_04,SW01_05,FINISHED_C,TIME_SUM_C,SWE_Mean_C,SWE_Mean_norm_C
SRJ31,EP A,3.0,3.0,3.0,4.0,4.0,ausgefüllt,675.0,3.4,5.1,EP A,4.0,4.0,3.0,3.0,4.0,ausgefüllt,643.0,3.6,5.4,VP A,4.0,4.0,4.0,6.0,5.0,ausgefüllt,921.0,4.6,4.6
ESS19,VP A,3.0,4.0,3.0,3.0,3.0,ausgefüllt,982.0,3.2,4.8,VP B,4.0,3.0,3.0,4.0,4.0,ausgefüllt,1025.0,3.6,5.4,VP B,6.0,6.0,5.0,5.0,6.0,ausgefüllt,645.0,5.6,5.6
AGI19,EP A,3.0,3.0,3.0,3.0,3.0,ausgefüllt,826.0,3.0,4.5,EP A,3.0,3.0,2.0,2.0,4.0,ausgefüllt,879.0,2.8,4.2,VP A,6.0,5.0,4.0,5.0,5.0,ausgefüllt,841.0,5.0,5.0
CGM10,EP A,3.0,3.0,2.0,3.0,4.0,ausgefüllt,935.0,3.0,4.5,EP A,3.0,3.0,3.0,4.0,4.0,ausgefüllt,1298.0,3.4,5.1,FP B,6.0,5.0,2.0,5.0,3.0,ausgefüllt,644.0,4.2,4.2
