ID_student,Praktikum_w3,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,FINISHED,TIME_SUM,SWE_Mean,SWE_Mean_norm,Praktikum_w5,KO01_01_B,KO01_02_B,KO01_03_B,KO01_04_B,KO01_05_B,FINISHED_B,TIME_SUM_B,SWE_Mean_B,SWE_Mean_norm_B,Praktikum_w8,SW01_01,SW01_02,SW01_03,SW01_04,SW01_05,FINISHED_C,TIME_SUM_C,SWE_Mean_C,SWE_Mean_norm_C
MAJ29,EP A,3.0,4.0,3.0,3.0,3.0,ausgefüllt,609.0,3.2,4.8,FP A,5.0,5.0,5.0,5.0,5.0,ausgefüllt,847.0,5.0,5.0,FP B,5.0,5.0,4.0,5.0,4.0,ausgefüllt,708.0,4.6,4.6
IJK20,FP A,3.0,3.0,4.0,4.0,3.0,ausgefüllt,897.0,3.4,5.1,FP B,6.0,5.0,5.0,5.0,6.0,ausgefüllt,1123.0,5.4,5.4,VP A,4.0,5.0,5.0,5.0,4.0,ausgefüllt,800.0,4.6,4.6
