ID_student,Praktikum_w5,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,FINISHED,TIME_SUM,SWE_Mean,SWE_Mean_norm,Praktikum_w6,KO01_01_B,KO01_02_B,KO01_03_B,KO01_04_B,KO01_05_B,FINISHED_B,TIME_SUM_B,SWE_Mean_B,SWE_Mean_norm_B,Praktikum_w8,SW01_01,SW01_02,SW01_03,SW01_04,SW01_05,FINISHED_C,TIME_SUM_C,SWE_Mean_C,SWE_Mean_norm_C
LSA29,EP A,4.0,5.0,3.0,4.0,2.0,ausgefüllt,802.0,3.6,3.6,EP B,4.0,4.0,4.0,4.0,5.0,ausgefüllt,712.0,4.2,4.2,EP B,5.0,3.0,3.0,3.0,2.0,ausgefüllt,688.0,3.2,3.2
JAL27,FP A,5.0,5.0,4.0,5.0,5.0,ausgefüllt,1152.0,4.8,4.8,FP B,6.0,6.0,4.0,5.0,5.0,ausgefüllt,1126.0,5.2,5.2,VP B,6.0,5.0,5.0,6.0,6.0,ausgefüllt,629.0,5.6,5.6
BRJ16,EP A,5.0,5.0,4.0,6.0,5.0,ausgefüllt,788.0,5.0,5.0,EP B,5.0,6.0,4.0,5.0,5.0,ausgefüllt,647.0,5.0,5.0,FP A,4.0,5.0,4.0,6.0,5.0,ausgefüllt,1217.0,4.8,4.8
GFK01,EP A,3.0,4.0,3.0,3.0,5.0,ausgefüllt,1091.0,3.6,3.6,EP B,5.0,5.0,4.0,4.0,4.0,ausgefüllt,824.0,4.4,4.4,EP B,4.0,5.0,4.0,4.0,3.0,ausgefüllt,742.0,4.0,4.0
IJK20,FP B,6.0,5.0,5.0,5.0,6.0,ausgefüllt,1123.0,5.4,5.4,VP A,6.0,5.0,6.0,5.0,6.0,ausgefüllt,1599.0,5.6,5.6,VP A,4.0,5.0,5.0,5.0,4.0,ausgefüllt,800.0,4.6,4.6
NHL21,EP A,6.0,6.0,6.0,5.0,6.0,ausgefüllt,838.0,5.8,5.8,EP B,4.0,3.0,4.0,4.0,4.0,ausgefüllt,1177.0,3.8,3.8,FP A,5.0,4.0,2.0,3.0,3.0,ausgefüllt,1025.0,3.4,3.4
